Form Type,Filing Date,Document URL,Ownership %,Shares Owned,Shareholder Name
SCHEDULE 13G/A,2025-02-14,https://www.sec.gov/Archives/edgar/data/0001855644/000141588925004257/xslSCHEDULE_13G_X01/primary_doc.xml,9.0,92.0,
SCHEDULE 13G/A,2025-02-14,https://www.sec.gov/Archives/edgar/data/0001855644/000110465925014403/xslSCHEDULE_13G_X01/primary_doc.xml,9.0,92.0,
SCHEDULE 13G/A,2025-02-14,https://www.sec.gov/Archives/edgar/data/0001855644/000117266125001191/xslSCHEDULE_13G_X01/primary_doc.xml,9.0,92.0,
SCHEDULE 13G/A,2025-02-12,https://www.sec.gov/Archives/edgar/data/0001855644/000007800325000042/xslSCHEDULE_13G_X01/primary_doc.xml,9.0,92.0,
SC 13G/A,2024-11-14,https://www.sec.gov/Archives/edgar/data/0001855644/000110465924119341/tm2428137d20_sc13ga.htm,9.0,,
SC 13G/A,2024-11-14,https://www.sec.gov/Archives/edgar/data/0001855644/000117266124005310/greatpoint-zura093024a2.htm,9.0,,
SC 13G,2024-11-14,https://www.sec.gov/Archives/edgar/data/0001855644/000110465924119084/tm2428381d4_sc13g.htm,,,
SC 13G/A,2024-11-14,https://www.sec.gov/Archives/edgar/data/0001855644/000091957424006746/d11527943_13g-a.htm,9.0,,
SC 13G/A,2024-09-23,https://www.sec.gov/Archives/edgar/data/0001855644/000173057424000001/zura.htm,9.0,,
SC 13G,2024-05-02,https://www.sec.gov/Archives/edgar/data/0001855644/000110465924056401/tm2413333d1_sc13g.htm,9.0,,
SC 13G,2024-05-02,https://www.sec.gov/Archives/edgar/data/0001855644/000110465924056540/tm2413405d1_sc13g.htm,,,
SC 13G/A,2024-04-22,https://www.sec.gov/Archives/edgar/data/0001855644/000117266124001922/deeptrack-zura041824a2.htm,9.0,,
SC 13G/A,2024-02-14,https://www.sec.gov/Archives/edgar/data/0001855644/000117266124001529/greatpoint-zura123123a1.htm,9.0,,
SC 13G/A,2024-02-14,https://www.sec.gov/Archives/edgar/data/0001855644/000117266124000952/deeptrack-zura123123a1.htm,9.0,,
SC 13G/A,2024-02-14,https://www.sec.gov/Archives/edgar/data/0001855644/000119312524034767/d786149dsc13ga.htm,,9.0,
SC 13G/A,2024-02-13,https://www.sec.gov/Archives/edgar/data/0001855644/000107680924000019/jatt20231231.htm,9.0,,
SC 13G/A,2024-02-12,https://www.sec.gov/Archives/edgar/data/0001855644/000119312524032218/d776631dsc13ga.htm,,,
SC 13G/A,2024-02-06,https://www.sec.gov/Archives/edgar/data/0001855644/000139382524000122/zura_13ga.htm,9.0,,
SC 13G/A,2024-01-25,https://www.sec.gov/Archives/edgar/data/0001855644/000110465924006535/tm243910d20_sc13ga.htm,,,
SC 13G,2023-12-14,https://www.sec.gov/Archives/edgar/data/0001855644/000173057423000004/zurav2.htm,9.0,,NAME OF REPORTING PERSON
SC 13D/A,2023-06-22,https://www.sec.gov/Archives/edgar/data/0001855644/000090445423000406/s13da_062223-zurabio.htm,11.0,,
SC 13G,2023-06-16,https://www.sec.gov/Archives/edgar/data/0001855644/000117266123002383/greatpoint-zura060523.htm,9.0,,
SC 13G,2023-06-15,https://www.sec.gov/Archives/edgar/data/0001855644/000091957423003717/d10654143_13-g.htm,9.0,,
SC 13G,2023-06-15,https://www.sec.gov/Archives/edgar/data/0001855644/000119312523167943/d517042dsc13g.htm,,,
SC 13G,2023-06-15,https://www.sec.gov/Archives/edgar/data/0001855644/000117266123002376/deeptrack-zura060523.htm,9.0,,
SC 13G,2023-04-13,https://www.sec.gov/Archives/edgar/data/0001855644/000110465923045014/tm2311814d1_sc13g.htm,11.0,,
SC 13G,2023-04-05,https://www.sec.gov/Archives/edgar/data/0001855644/000110465923041713/tm2311695d2_sc13g.htm,11.0,,
SC 13D,2023-03-31,https://www.sec.gov/Archives/edgar/data/0001855644/000173057423000003/athanor13d.txt,11.0,,
SC 13G,2023-03-30,https://www.sec.gov/Archives/edgar/data/0001855644/000007800323000060/zurabio_13gxpfizer032023.htm,9.0,,
SC 13D/A,2023-03-28,https://www.sec.gov/Archives/edgar/data/0001855644/000110465923037455/tm2310624d1_sc13da.htm,11.0,,
SC 13G,2023-02-14,https://www.sec.gov/Archives/edgar/data/0001855644/000107680923000105/jatt20221231.htm,9.0,,
SC 13G/A,2023-02-06,https://www.sec.gov/Archives/edgar/data/0001855644/000139382523000042/jatt_13ga.htm,9.0,,
SC 13G/A,2023-02-02,https://www.sec.gov/Archives/edgar/data/0001855644/000110465923009730/tm234504d33_sc13ga.htm,,,
SC 13G,2022-02-08,https://www.sec.gov/Archives/edgar/data/0001855644/000139382522000162/jatt_13g.htm,9.0,,
SC 13G,2022-01-21,https://www.sec.gov/Archives/edgar/data/0001855644/000110465922006390/tm222458d23_sc13g.htm,,,
SC 13D,2021-07-26,https://www.sec.gov/Archives/edgar/data/0001855644/000119312521224373/d117249dsc13d.htm,,,
SC 13G,2021-07-22,https://www.sec.gov/Archives/edgar/data/0001855644/000112329221001147/aimco13g.htm,9.0,,
SC 13D,2021-07-21,https://www.sec.gov/Archives/edgar/data/0001855644/000110465921094342/tm2122798d1_sc13d.htm,11.0,,
