Form Type,Filing Date,Document URL,Ownership %,Shares Owned,Shareholder Name
SCHEDULE 13G/A,2025-02-05,https://www.sec.gov/Archives/edgar/data/0001824920/000201238325001215/xslSCHEDULE_13G_X01/primary_doc.xml,9.0,92.0,
SC 13G/A,2024-11-12,https://www.sec.gov/Archives/edgar/data/0001824920/000093247124001056/UnitedStates_13G__IonQIncUS4.txt,9.0,,
SC 13G/A,2024-11-04,https://www.sec.gov/Archives/edgar/data/0001824920/000093247124000457/UnitedStates_13G__IonQIncUS4.txt,9.0,,
SC 13G/A,2024-02-13,https://www.sec.gov/Archives/edgar/data/0001824920/000110465924021230/tv01224-ionqinc.htm,9.0,,
SC 13G,2024-01-29,https://www.sec.gov/Archives/edgar/data/0001824920/000108636424005556/us46222l1089_012924.txt,9.0,,
SC 13D/A,2023-06-09,https://www.sec.gov/Archives/edgar/data/0001824920/000107261323000356/nea15-ionq_18726.htm,,,
SC 13G,2023-02-09,https://www.sec.gov/Archives/edgar/data/0001824920/000110465923016234/tv01183-ionqinc.htm,9.0,,
SC 13D/A,2022-06-06,https://www.sec.gov/Archives/edgar/data/0001824920/000107261322000452/nea15-ionq_18615.htm,,,
SC 13G/A,2022-04-22,https://www.sec.gov/Archives/edgar/data/0001824920/000110465922048981/tm2213220d1_sc13ga.htm,9.0,,
SC 13G,2022-02-14,https://www.sec.gov/Archives/edgar/data/0001824920/000119312522040733/d279599dsc13g.htm,,,
SC 13G/A,2022-02-14,https://www.sec.gov/Archives/edgar/data/0001824920/000131924422000152/INQ_SC13GA1.htm,,,
SC 13G/A,2022-02-08,https://www.sec.gov/Archives/edgar/data/0001824920/000106299322003024/formsc13ga.htm,9.0,,
SC 13G/A,2022-01-28,https://www.sec.gov/Archives/edgar/data/0001824920/000119312522021396/d271217dsc13ga.htm,,,
SC 13D,2021-10-21,https://www.sec.gov/Archives/edgar/data/0001824920/000107261321000602/nea15-ionq_18545.htm,,,
SC 13G,2021-10-12,https://www.sec.gov/Archives/edgar/data/0001824920/000119312521297031/d859608dsc13g.htm,,,
SC 13G,2021-02-16,https://www.sec.gov/Archives/edgar/data/0001824920/000119312521043197/d137671dsc13g.htm,,,
SC 13G,2021-02-08,https://www.sec.gov/Archives/edgar/data/0001824920/000106299321000984/formsc13g.htm,9.0,,
SC 13G/A,2021-02-08,https://www.sec.gov/Archives/edgar/data/0001824920/000119312521031607/d25922dsc13ga.htm,,,
SC 13G,2020-11-23,https://www.sec.gov/Archives/edgar/data/0001824920/000090514820001228/efc20-882_sc13g.htm,9.0,,
SC 13G,2020-11-23,https://www.sec.gov/Archives/edgar/data/0001824920/000119312520300656/d86240dsc13g.htm,,,
SC 13G,2020-11-18,https://www.sec.gov/Archives/edgar/data/0001824920/000131924420000171/DMYI_SC13G.htm,,,
