Form Type,Filing Date,Document URL,Ownership %,Shares Owned,Shareholder Name
SCHEDULE 13G/A,2025-01-31,https://www.sec.gov/Archives/edgar/data/0001321655/000093247125000216/xslSCHEDULE_13G_X01/primary_doc.xml,9.0,92.0,
SC 13G/A,2024-11-14,https://www.sec.gov/Archives/edgar/data/0001321655/000110465924119313/tm2427620d21_sc13ga.htm,,,
SC 13G/A,2024-11-08,https://www.sec.gov/Archives/edgar/data/0001321655/000132165524000216/schedule13gaamendment2-msp.htm,9.0,,
SC 13G/A,2024-11-08,https://www.sec.gov/Archives/edgar/data/0001321655/000201238324004169/us69608a1088_110824.txt,9.0,,
SC 13G/A,2024-10-30,https://www.sec.gov/Archives/edgar/data/0001321655/000132165524000200/schedule13gaamendment1-msp.htm,9.0,,
SC 13G/A,2024-10-22,https://www.sec.gov/Archives/edgar/data/0001321655/000201238324001291/us69608a1088_102224.txt,9.0,,
SC 13G,2024-10-08,https://www.sec.gov/Archives/edgar/data/0001321655/000132165524000194/schedule13g-ffie.htm,9.0,,
SC 13G/A,2024-10-04,https://www.sec.gov/Archives/edgar/data/0001321655/000132165524000189/schedule13gano2.htm,9.0,,
SC 13G/A,2024-10-04,https://www.sec.gov/Archives/edgar/data/0001321655/000093247124000170/UnitedStates_13G__PalantirTe.txt,9.0,,
SC 13G/A,2024-09-13,https://www.sec.gov/Archives/edgar/data/0001321655/000132165524000168/schedule13g_aamendmentnox5.htm,9.0,,
SC 13G/A,2024-07-03,https://www.sec.gov/Archives/edgar/data/0001321655/000132165524000112/a13gasrfm20240703.htm,9.0,,
SC 13G/A,2024-06-04,https://www.sec.gov/Archives/edgar/data/0001321655/000132165524000083/schedule13g_aamendmentnox4.htm,9.0,,
SC 13G/A,2024-05-24,https://www.sec.gov/Archives/edgar/data/0001321655/000132165524000080/schedule13g_aamendmentnox3.htm,9.0,,
SC 13G,2024-04-01,https://www.sec.gov/Archives/edgar/data/0001321655/000132165524000043/schedule13g-msprecovery.htm,9.0,,
SC 13G,2024-02-26,https://www.sec.gov/Archives/edgar/data/0001321655/000132165524000036/a13gsrfm-final.htm,9.0,,
SC 13G/A,2024-02-14,https://www.sec.gov/Archives/edgar/data/0001321655/000110465924023690/tm245429d2_sc13ga.htm,,,
SC 13G/A,2024-02-13,https://www.sec.gov/Archives/edgar/data/0001321655/000110465924021662/tv01648-palantirtechnologies.htm,9.0,,
SC 13G,2024-01-31,https://www.sec.gov/Archives/edgar/data/0001321655/000108636424005990/us69608a1088_013124.txt,9.0,,
SC 13G/A,2024-01-12,https://www.sec.gov/Archives/edgar/data/0001321655/000132165524000005/a202401xxschedule13gaamend.htm,9.0,,
SC 13G/A,2023-07-14,https://www.sec.gov/Archives/edgar/data/0001321655/000132165523000077/a202307xxschedule13gaamend.htm,9.0,,
SC 13G,2023-04-10,https://www.sec.gov/Archives/edgar/data/0001321655/000119312523096546/d496148dsc13g.htm,,,
SC 13G/A,2023-02-14,https://www.sec.gov/Archives/edgar/data/0001321655/000110465923021547/tm235858d1_sc13ga.htm,,,
SC 13G/A,2023-02-09,https://www.sec.gov/Archives/edgar/data/0001321655/000110465923016675/tv01619-palantirtechnologies.htm,9.0,,
SC 13G/A,2022-02-15,https://www.sec.gov/Archives/edgar/data/0001321655/000156459022005029/pltr-sc13ga.htm,9.0,,
SC 13G/A,2022-02-14,https://www.sec.gov/Archives/edgar/data/0001321655/000106823822000046/thiel_sch13ga.htm,9.0,,
SC 13G,2022-02-10,https://www.sec.gov/Archives/edgar/data/0001321655/000110465922018285/tv01616-palantirtechnologies.htm,9.0,,
SC 13G/A,2022-01-31,https://www.sec.gov/Archives/edgar/data/0001321655/000138713122001076/sompo-sc13ga_123121.htm,,,
SC 13G,2021-02-16,https://www.sec.gov/Archives/edgar/data/0001321655/000106823821000041/thiel_schedule-13g.htm,9.0,,
SC 13G,2021-02-16,https://www.sec.gov/Archives/edgar/data/0001321655/000119312521044900/d131916dsc13g.htm,,,
SC 13G,2021-02-04,https://www.sec.gov/Archives/edgar/data/0001321655/000138713121001749/sompo-sc13g_020321.htm,9.0,,
