end_date,shares_outstanding,form,filed_date,fiscal_year,fiscal_period,accn,shares_outstanding_formatted
2021-12-31,18221069,10-Q,2022-05-16,2022,Q1,0001193125-22-151893,"18,221,069"
2021-12-31,18221069,10-Q,2022-08-12,2022,Q2,0001193125-22-218918,"18,221,069"
2021-12-31,18221069,10-Q,2022-11-22,2022,Q3,0001193125-22-290115,"18,221,069"
2021-12-31,18221257,10-Q/A,2022-11-30,2022,Q1,0001193125-22-295445,"18,221,257"
2021-12-31,18221069,10-Q/A,2022-11-30,2022,Q2,0001193125-22-295450,"18,221,069"
2021-12-31,18221069,10-K,2023-03-27,2022,FY,0001193125-23-080486,"18,221,069"
2022-03-31,18221069,10-Q,2022-05-16,2022,Q1,0001193125-22-151893,"18,221,069"
2022-03-31,113810285,10-Q/A,2022-11-30,2022,Q1,0001193125-22-295445,"113,810,285"
2022-06-30,117102735,10-Q/A,2022-11-30,2022,Q2,0001193125-22-295450,"117,102,735"
2022-06-30,117102735,10-Q,2022-08-12,2022,Q2,0001193125-22-218918,"117,102,735"
2022-08-11,23648889,10-Q,2022-11-22,2022,Q3,0001193125-22-290115,"23,648,889"
2022-08-11,23648889,10-K,2023-03-27,2022,FY,0001193125-23-080486,"23,648,889"
2022-08-11,23648889,10-Q,2023-05-11,2023,Q1,0001193125-23-142055,"23,648,889"
2022-08-11,23648889,10-Q,2023-08-10,2023,Q2,0001558370-23-014492,"23,648,889"
2022-08-11,23648889,10-Q,2023-11-09,2023,Q3,0001558370-23-018559,"23,648,889"
2022-08-11,23648889,10-K,2024-03-14,2023,FY,0001558370-24-003234,"23,648,889"
2022-09-14,1000000,10-K,2024-03-14,2023,FY,0001558370-24-003234,"1,000,000"
2022-09-14,1000000,10-Q,2023-11-09,2023,Q3,0001558370-23-018559,"1,000,000"
2022-09-14,1000000,10-Q,2023-08-10,2023,Q2,0001558370-23-014492,"1,000,000"
2022-09-14,1000000,10-Q,2023-05-11,2023,Q1,0001193125-23-142055,"1,000,000"
2022-09-30,122739804,10-Q,2022-11-22,2022,Q3,0001193125-22-290115,"122,739,804"
2022-12-31,125257233,10-K,2023-03-27,2022,FY,0001193125-23-080486,"125,257,233"
2022-12-31,125257233,10-Q,2023-05-11,2023,Q1,0001193125-23-142055,"125,257,233"
2022-12-31,125257233,10-Q,2023-08-10,2023,Q2,0001558370-23-014492,"125,257,233"
2022-12-31,125257233,10-Q,2023-11-09,2023,Q3,0001558370-23-018559,"125,257,233"
2022-12-31,125257233,10-K,2024-03-14,2023,FY,0001558370-24-003234,"125,257,233"
2023-03-31,129171170,10-Q,2023-05-11,2023,Q1,0001193125-23-142055,"129,171,170"
2023-06-30,132401062,10-Q,2023-08-10,2023,Q2,0001558370-23-014492,"132,401,062"
2023-09-30,140181421,10-Q,2023-11-09,2023,Q3,0001558370-23-018559,"140,181,421"
2023-12-31,147066336,10-K,2024-03-14,2023,FY,0001558370-24-003234,"147,066,336"
2023-12-31,147066336,10-Q,2024-05-09,2024,Q1,0001558370-24-007606,"147,066,336"
2023-12-31,147066336,10-Q,2024-08-08,2024,Q2,0001558370-24-011594,"147,066,336"
2023-12-31,147066336,10-Q,2024-11-12,2024,Q3,0001558370-24-015139,"147,066,336"
2024-03-31,165310938,10-Q,2024-05-09,2024,Q1,0001558370-24-007606,"165,310,938"
2024-06-30,179596760,10-Q,2024-08-08,2024,Q2,0001558370-24-011594,"179,596,760"
2024-09-30,191958045,10-Q,2024-11-12,2024,Q3,0001558370-24-015139,"191,958,045"
