Form Type,Filing Date,Document URL,Ownership %,Shares Owned,Shareholder Name
SCHEDULE 13G/A,2025-02-14,https://www.sec.gov/Archives/edgar/data/0001855644/000141588925004257/xslSCHEDULE_13G_X01/primary_doc.xml,4.9,3 217 503.00,RA Capital Management L.P.
SCHEDULE 13G/A,2025-02-14,https://www.sec.gov/Archives/edgar/data/0001855644/000110465925014403/xslSCHEDULE_13G_X01/primary_doc.xml,3.18,2 077 251.00,ADAR1 Capital Management LLC
SCHEDULE 13G/A,2025-02-14,https://www.sec.gov/Archives/edgar/data/0001855644/000117266125001191/xslSCHEDULE_13G_X01/primary_doc.xml,4.86,3 170 194.00,Great Point Partners LLC
SCHEDULE 13G/A,2025-02-12,https://www.sec.gov/Archives/edgar/data/0001855644/000007800325000042/xslSCHEDULE_13G_X01/primary_doc.xml,4.6,2 970 022.00,Pfizer Inc. 13-5315170
SC 13G/A,2024-11-14,https://www.sec.gov/Archives/edgar/data/0001855644/000110465924119341/tm2428137d20_sc13ga.htm,9.9,6 853 600,Venrock Healthcare Capital Partners III L.P.
SC 13G/A,2024-11-14,https://www.sec.gov/Archives/edgar/data/0001855644/000117266124005310/greatpoint-zura093024a2.htm,5.12,3 263 672,Great Point Partners LLC
SC 13G,2024-11-14,https://www.sec.gov/Archives/edgar/data/0001855644/000110465924119084/tm2428381d4_sc13g.htm,5.1,3 332 835,ADAR1 Capital Management LLC
SC 13G/A,2024-11-14,https://www.sec.gov/Archives/edgar/data/0001855644/000091957424006746/d11527943_13g-a.htm,7.6,4 860 939,Suvretta Capital Management LLC
SC 13G/A,2024-09-23,https://www.sec.gov/Archives/edgar/data/0001855644/000173057424000001/zura.htm,1.49,1 001 633, Athanor Capital LP
SC 13G,2024-05-02,https://www.sec.gov/Archives/edgar/data/0001855644/000110465924056401/tm2413333d1_sc13g.htm,9.99,6 399 619,Venrock Healthcare Capital Partners III L.P.
SC 13G,2024-05-02,https://www.sec.gov/Archives/edgar/data/0001855644/000110465924056540/tm2413405d1_sc13g.htm,5.1,3 217 503,RA CAPITAL MANAGEMENT L.P.
SC 13G/A,2024-04-22,https://www.sec.gov/Archives/edgar/data/0001855644/000117266124001922/deeptrack-zura041824a2.htm,9.34,6 216 327,Deep Track Capital LP
SC 13G/A,2024-02-14,https://www.sec.gov/Archives/edgar/data/0001855644/000117266124001529/greatpoint-zura123123a1.htm,7.56,3 295 000,Great Point Partners LLC
SC 13G/A,2024-02-14,https://www.sec.gov/Archives/edgar/data/0001855644/000117266124000952/deeptrack-zura123123a1.htm,9.29,4 205 000,Deep Track Capital LP
SC 13G/A,2024-02-14,https://www.sec.gov/Archives/edgar/data/0001855644/000119312524034767/d786149dsc13ga.htm,9.9,4 388 560,AI Biotechnology LLC
SC 13G/A,2024-02-13,https://www.sec.gov/Archives/edgar/data/0001855644/000107680924000019/jatt20231231.htm,0,0,Glazer Capital LLC
SC 13G/A,2024-02-12,https://www.sec.gov/Archives/edgar/data/0001855644/000119312524032218/d776631dsc13ga.htm,0,0, Alberta Investment Management Corporation
SC 13G/A,2024-02-06,https://www.sec.gov/Archives/edgar/data/0001855644/000139382524000122/zura_13ga.htm,0.85,373 825,Hudson Bay Capital Management LP
SC 13G/A,2024-01-25,https://www.sec.gov/Archives/edgar/data/0001855644/000110465924006535/tm243910d20_sc13ga.htm,0,0,MAGNETAR FINANCIAL LLC
SC 13G,2023-12-14,https://www.sec.gov/Archives/edgar/data/0001855644/000173057423000004/zurav2.htm,11.01,4 801 633,Athanor Capital LP
SC 13D/A,2023-06-22,https://www.sec.gov/Archives/edgar/data/0001855644/000090445423000406/s13da_062223-zurabio.htm,18.55,7 995 633,Athanor Capital LP
SC 13G,2023-06-16,https://www.sec.gov/Archives/edgar/data/0001855644/000117266123002383/greatpoint-zura060523.htm,7.65,3 295 000,Great Point Partners LLC
SC 13G,2023-06-15,https://www.sec.gov/Archives/edgar/data/0001855644/000091957423003717/d10654143_13-g.htm,6.6,2 850 000,Suvretta Capital Management LLC
SC 13G,2023-06-15,https://www.sec.gov/Archives/edgar/data/0001855644/000119312523167943/d517042dsc13g.htm,9.29,4 200 000, AI Biotechnology LLC
SC 13G,2023-06-15,https://www.sec.gov/Archives/edgar/data/0001855644/000117266123002376/deeptrack-zura060523.htm,9.39,4 205 000,Deep Track Capital LP
SC 13G,2023-04-13,https://www.sec.gov/Archives/edgar/data/0001855644/000110465923045014/tm2311814d1_sc13g.htm,12.5,3 653 466, Ewon Comfortech Co. Ltd.
SC 13G,2023-04-05,https://www.sec.gov/Archives/edgar/data/0001855644/000110465923041713/tm2311695d2_sc13g.htm,19.6,5 404 274,Hana Immunotherapeutics LLC
SC 13D,2023-03-31,https://www.sec.gov/Archives/edgar/data/0001855644/000173057423000003/athanor13d.txt,12.15,6 801 633,Athanor Capital LP
SC 13G,2023-03-30,https://www.sec.gov/Archives/edgar/data/0001855644/000007800323000060/zurabio_13gxpfizer032023.htm,10.78,2 970 022,Pfizer Inc.
SC 13D/A,2023-03-28,https://www.sec.gov/Archives/edgar/data/0001855644/000110465923037455/tm2310624d1_sc13da.htm,9.4,2 743 904,JATT Ventures L.P.
SC 13G,2023-02-14,https://www.sec.gov/Archives/edgar/data/0001855644/000107680923000105/jatt20221231.htm,7.25,999 980,Glazer Capital LLC
SC 13G/A,2023-02-06,https://www.sec.gov/Archives/edgar/data/0001855644/000139382523000042/jatt_13ga.htm,9.47,1 306 750,Hudson Bay Capital Management LP
SC 13G/A,2023-02-02,https://www.sec.gov/Archives/edgar/data/0001855644/000110465923009730/tm234504d33_sc13ga.htm,8.36,1 153 700,MAGNETAR FINANCIAL LLC
SC 13G,2022-02-08,https://www.sec.gov/Archives/edgar/data/0001855644/000139382522000162/jatt_13g.htm,8.61,1 188 000,Hudson Bay Capital Management LP
SC 13G,2022-01-21,https://www.sec.gov/Archives/edgar/data/0001855644/000110465922006390/tm222458d23_sc13g.htm,8.58,1 184 336,MAGNETAR FINANCIAL LLC
SC 13D,2021-07-26,https://www.sec.gov/Archives/edgar/data/0001855644/000119312521224373/d117249dsc13d.htm,17.3,2 388 000, Athanor Capital LP
SC 13G,2021-07-22,https://www.sec.gov/Archives/edgar/data/0001855644/000112329221001147/aimco13g.htm,8.6,1 188 000,Alberta Investment Management Corporation
SC 13D,2021-07-21,https://www.sec.gov/Archives/edgar/data/0001855644/000110465921094342/tm2122798d1_sc13d.htm,40.4,9 360 000, JATT Ventures L.P.
