end_date,shares_outstanding,form,filed_date,fiscal_year,fiscal_period,accn,shares_outstanding_formatted
2022-12-31,383479,10-Q,2023-05-12,2023,Q1,0001410578-23-001121,"383,479"
2022-12-31,383479,10-Q,2023-08-14,2023,Q2,0001410578-23-001829,"383,479"
2022-12-31,383480,10-Q,2023-11-13,2023,Q3,0001410578-23-002337,"383,480"
2022-12-31,279720,10-K,2024-03-28,2023,FY,0001410578-24-000329,"279,720"
2023-03-31,27052155,10-Q,2023-05-12,2023,Q1,0001410578-23-001121,"27,052,155"
2023-06-30,43093685,10-Q,2023-08-14,2023,Q2,0001410578-23-001829,"43,093,685"
2023-09-30,43093685,10-Q,2023-11-13,2023,Q3,0001410578-23-002337,"43,093,685"
2023-12-31,43593678,10-K,2024-03-28,2023,FY,0001410578-24-000329,"43,593,678"
2023-12-31,43593678,10-Q,2024-05-09,2024,Q1,0001410578-24-000655,"43,593,678"
2023-12-31,43593678,10-Q,2024-08-13,2024,Q2,0001410578-24-001371,"43,593,678"
2023-12-31,43593678,10-Q,2024-11-07,2024,Q3,0001410578-24-001779,"43,593,678"
2024-03-31,43593678,10-Q,2024-05-09,2024,Q1,0001410578-24-000655,"43,593,678"
2024-06-30,63683806,10-Q,2024-08-13,2024,Q2,0001410578-24-001371,"63,683,806"
2024-09-30,65293530,10-Q,2024-11-07,2024,Q3,0001410578-24-001779,"65,293,530"
