Investor,Ticker,Form Type,Filing Date,Document URL,Source of Funds,Ownership %,Shares Owned
"<P STYLE=""MARGIN-TOP:0PT; MARGIN-BOTTOM:1PT; FONT-SIZE:10PT; FONT-FAMILY:TIMES NEW ROMAN"">&#8194;BESSEMER VENTURE PARTNERS X INSTITUTIONAL L.P.</P></TD></TR>",RGTI,SC 13D/A,2024-11-27,https://www.sec.gov/Archives/edgar/data/0001838359/000119312524267168/d867344dsc13da.htm,12PT,11.0,12
"<P STYLE=""MARGIN-TOP:0PT; MARGIN-BOTTOM:1PT; FONT-SIZE:10PT; FONT-FAMILY:TIMES NEW ROMAN"">&#8194;BESSEMER VENTURE PARTNERS X L.P.</P></TD></TR>",RGTI,SC 13D/A,2024-11-27,https://www.sec.gov/Archives/edgar/data/0001838359/000119312524267168/d867344dsc13da.htm,12PT,11.0,12
"<P STYLE=""MARGIN-TOP:0PT; MARGIN-BOTTOM:1PT; FONT-SIZE:10PT; FONT-FAMILY:TIMES NEW ROMAN"">&#8194;DEER X&NBSP;&AMP; CO. L.P.</P></TD></TR>",RGTI,SC 13D/A,2024-11-27,https://www.sec.gov/Archives/edgar/data/0001838359/000119312524267168/d867344dsc13da.htm,12PT,11.0,12
"<P STYLE=""MARGIN-TOP:0PT; MARGIN-BOTTOM:1PT; FONT-SIZE:10PT; FONT-FAMILY:TIMES NEW ROMAN"">&#8194;DEER X&NBSP;&AMP; CO. LTD.</P></TD></TR>",RGTI,SC 13D/A,2024-11-27,https://www.sec.gov/Archives/edgar/data/0001838359/000119312524267168/d867344dsc13da.htm,12PT,11.0,12
"<P STYLE=""MARGIN-TOP:0PT; MARGIN-BOTTOM:1PT; FONT-SIZE:10PT; FONT-FAMILY:TIMES NEW ROMAN"">&#8194;BESSEMER VENTURE PARTNERS X INSTITUTIONAL L.P.</P></TD></TR>",RGTI,SC 13D/A,2024-11-19,https://www.sec.gov/Archives/edgar/data/0001838359/000119312524261868/d844070dsc13da.htm,12PT,11.0,12
"<P STYLE=""MARGIN-TOP:0PT; MARGIN-BOTTOM:1PT; FONT-SIZE:10PT; FONT-FAMILY:TIMES NEW ROMAN"">&#8194;BESSEMER VENTURE PARTNERS X L.P.</P></TD></TR>",RGTI,SC 13D/A,2024-11-19,https://www.sec.gov/Archives/edgar/data/0001838359/000119312524261868/d844070dsc13da.htm,12PT,11.0,12
"<P STYLE=""MARGIN-TOP:0PT; MARGIN-BOTTOM:1PT; FONT-SIZE:10PT; FONT-FAMILY:TIMES NEW ROMAN"">&#8194;DEER X &AMP; CO. L.P.</P></TD></TR>",RGTI,SC 13D/A,2024-11-19,https://www.sec.gov/Archives/edgar/data/0001838359/000119312524261868/d844070dsc13da.htm,12PT,11.0,12
"<P STYLE=""MARGIN-TOP:0PT; MARGIN-BOTTOM:1PT; FONT-SIZE:10PT; FONT-FAMILY:TIMES NEW ROMAN"">&#8194;DEER X &AMP; CO. LTD.</P></TD></TR>",RGTI,SC 13D/A,2024-11-19,https://www.sec.gov/Archives/edgar/data/0001838359/000119312524261868/d844070dsc13da.htm,12PT,11.0,12
"<P STYLE=""MARGIN-TOP:0PT; MARGIN-BOTTOM:1PT; FONT-SIZE:10PT; FONT-FAMILY:TIMES NEW ROMAN"">&NBSP;&NBSP;BESSEMER VENTURE PARTNERS X INSTITUTIONAL L.P.</P></TD></TR>",RGTI,SC 13D,2022-03-14,https://www.sec.gov/Archives/edgar/data/0001838359/000119312522074639/d282772dsc13d.htm,12PT,11.0,12
"<P STYLE=""MARGIN-TOP:0PT; MARGIN-BOTTOM:1PT; FONT-SIZE:10PT; FONT-FAMILY:TIMES NEW ROMAN"">&NBSP;&NBSP;BESSEMER VENTURE PARTNERS X L.P.</P></TD></TR>",RGTI,SC 13D,2022-03-14,https://www.sec.gov/Archives/edgar/data/0001838359/000119312522074639/d282772dsc13d.htm,12PT,11.0,12
"<P STYLE=""MARGIN-TOP:0PT; MARGIN-BOTTOM:1PT; FONT-SIZE:10PT; FONT-FAMILY:TIMES NEW ROMAN"">&NBSP;&NBSP;DEER X&NBSP;&AMP; CO. L.P.</P></TD></TR>",RGTI,SC 13D,2022-03-14,https://www.sec.gov/Archives/edgar/data/0001838359/000119312522074639/d282772dsc13d.htm,12PT,11.0,12
"<P STYLE=""MARGIN-TOP:0PT; MARGIN-BOTTOM:1PT; FONT-SIZE:10PT; FONT-FAMILY:TIMES NEW ROMAN"">&NBSP;&NBSP;DEER X&NBSP;&AMP; CO. LTD.</P></TD></TR>",RGTI,SC 13D,2022-03-14,https://www.sec.gov/Archives/edgar/data/0001838359/000119312522074639/d282772dsc13d.htm,12PT,11.0,12
"<TD STYLE=""PADDING-RIGHT: 5.4PT; PADDING-LEFT: 5.4PT"">&NBSP;</TD></TR>",RGTI,SC 13G,2022-02-14,https://www.sec.gov/Archives/edgar/data/0001838359/000091957422001445/d9181469_13-g.htm,,5.4,5
