Filing Date,Filing URL,Company Name,Shares
2025-02-14,https://www.sec.gov/Archives/edgar/data/0001491072/000095012325002113/xslForm13F_X02/primary_doc.xml,Phone:,2148660200
2025-02-14,https://www.sec.gov/Archives/edgar/data/0001491072/000095012325002113/xslForm13F_X02/primary_doc.xml,Report for the Calendar Year or Quarter Ended:,12312024
2025-02-14,https://www.sec.gov/Archives/edgar/data/0001491072/000095012325002113/xslForm13F_X02/primary_doc.xml,X,13
2025-02-14,https://www.sec.gov/Archives/edgar/data/0001491072/000095012325002113/xslForm13F_X02/primary_doc.xml,hours per response:,238
2024-11-14,https://www.sec.gov/Archives/edgar/data/0001491072/000095012324011315/xslForm13F_X02/primary_doc.xml,Phone:,2148660200
2024-11-14,https://www.sec.gov/Archives/edgar/data/0001491072/000095012324011315/xslForm13F_X02/primary_doc.xml,Report for the Calendar Year or Quarter Ended:,9302024
2024-11-14,https://www.sec.gov/Archives/edgar/data/0001491072/000095012324011315/xslForm13F_X02/primary_doc.xml,X,13
2024-11-14,https://www.sec.gov/Archives/edgar/data/0001491072/000095012324011315/xslForm13F_X02/primary_doc.xml,hours per response:,238
2024-08-13,https://www.sec.gov/Archives/edgar/data/0001491072/000095012324008207/xslForm13F_X02/primary_doc.xml,Phone:,2148660200
2024-08-13,https://www.sec.gov/Archives/edgar/data/0001491072/000095012324008207/xslForm13F_X02/primary_doc.xml,Report for the Calendar Year or Quarter Ended:,6302024
2024-08-13,https://www.sec.gov/Archives/edgar/data/0001491072/000095012324008207/xslForm13F_X02/primary_doc.xml,X,13
2024-08-13,https://www.sec.gov/Archives/edgar/data/0001491072/000095012324008207/xslForm13F_X02/primary_doc.xml,hours per response:,238
2024-05-14,https://www.sec.gov/Archives/edgar/data/0001491072/000095012324005066/xslForm13F_X02/primary_doc.xml,Phone:,2148660200
2024-05-14,https://www.sec.gov/Archives/edgar/data/0001491072/000095012324005066/xslForm13F_X02/primary_doc.xml,Report for the Calendar Year or Quarter Ended:,3312024
2024-05-14,https://www.sec.gov/Archives/edgar/data/0001491072/000095012324005066/xslForm13F_X02/primary_doc.xml,X,13
2024-05-14,https://www.sec.gov/Archives/edgar/data/0001491072/000095012324005066/xslForm13F_X02/primary_doc.xml,hours per response:,238
2024-02-14,https://www.sec.gov/Archives/edgar/data/0001491072/000095012324002131/xslForm13F_X02/primary_doc.xml,Phone:,2148660200
2024-02-14,https://www.sec.gov/Archives/edgar/data/0001491072/000095012324002131/xslForm13F_X02/primary_doc.xml,Report for the Calendar Year or Quarter Ended:,12312023
2024-02-14,https://www.sec.gov/Archives/edgar/data/0001491072/000095012324002131/xslForm13F_X02/primary_doc.xml,X,13
2024-02-14,https://www.sec.gov/Archives/edgar/data/0001491072/000095012324002131/xslForm13F_X02/primary_doc.xml,hours per response:,238
2023-11-14,https://www.sec.gov/Archives/edgar/data/0001491072/000095012323010263/xslForm13F_X02/primary_doc.xml,Phone:,2148660219
2023-11-14,https://www.sec.gov/Archives/edgar/data/0001491072/000095012323010263/xslForm13F_X02/primary_doc.xml,Report for the Calendar Year or Quarter Ended:,9302023
2023-11-14,https://www.sec.gov/Archives/edgar/data/0001491072/000095012323010263/xslForm13F_X02/primary_doc.xml,X,13
2023-11-14,https://www.sec.gov/Archives/edgar/data/0001491072/000095012323010263/xslForm13F_X02/primary_doc.xml,hours per response:,238
2023-08-14,https://www.sec.gov/Archives/edgar/data/0001491072/000095012323008259/xslForm13F_X02/primary_doc.xml,Phone:,2148660219
2023-08-14,https://www.sec.gov/Archives/edgar/data/0001491072/000095012323008259/xslForm13F_X02/primary_doc.xml,Report for the Calendar Year or Quarter Ended:,6302023
2023-08-14,https://www.sec.gov/Archives/edgar/data/0001491072/000095012323008259/xslForm13F_X02/primary_doc.xml,X,13
2023-08-14,https://www.sec.gov/Archives/edgar/data/0001491072/000095012323008259/xslForm13F_X02/primary_doc.xml,hours per response:,238
2023-05-15,https://www.sec.gov/Archives/edgar/data/0001491072/000095012323005475/xslForm13F_X02/primary_doc.xml,Phone:,2148660219
2023-05-15,https://www.sec.gov/Archives/edgar/data/0001491072/000095012323005475/xslForm13F_X02/primary_doc.xml,Report for the Calendar Year or Quarter Ended:,3312023
