Form Type,Filing Date,Document URL,Ownership %,Shareholder Name
SC 13G,2024-12-05,https://www.sec.gov/Archives/edgar/data/0001838359/000110465924125806/tm2430033d1_sc13g.htm,9.0,
SC 13D/A,2024-11-27,https://www.sec.gov/Archives/edgar/data/0001838359/000119312524267168/d867344dsc13da.htm,,
SC 13D/A,2024-11-19,https://www.sec.gov/Archives/edgar/data/0001838359/000119312524261868/d844070dsc13da.htm,,
SC 13G/A,2023-02-13,https://www.sec.gov/Archives/edgar/data/0001838359/000093583623000181/rigetti13g.htm,9.0,
SC 13G/A,2023-02-10,https://www.sec.gov/Archives/edgar/data/0001838359/000127308723000096/RGTI_SC13GA_2023.htm,,
SC 13D/A,2023-01-26,https://www.sec.gov/Archives/edgar/data/0001838359/000138713123000644/rgti-sc13da_012523.htm,11.0,
SC 13D/A,2023-01-12,https://www.sec.gov/Archives/edgar/data/0001838359/000138713123000264/rgti-sc13da_011123.htm,11.0,
SC 13D/A,2022-09-02,https://www.sec.gov/Archives/edgar/data/0001838359/000119312522237862/d542096dsc13da.htm,,
SC 13D/A,2022-08-31,https://www.sec.gov/Archives/edgar/data/0001838359/000138713122009405/rgti-sc13da_083022.htm,11.0,
SC 13D/A,2022-08-22,https://www.sec.gov/Archives/edgar/data/0001838359/000138713122008941/rgti-sc13da_081922.htm,11.0,
SC 13G,2022-04-15,https://www.sec.gov/Archives/edgar/data/0001838359/000114036122014755/brhc10036402_sc13g.htm,9.0,
SC 13D,2022-03-14,https://www.sec.gov/Archives/edgar/data/0001838359/000119312522074712/d329822dsc13d.htm,,
SC 13D,2022-03-14,https://www.sec.gov/Archives/edgar/data/0001838359/000119312522074639/d282772dsc13d.htm,,
SC 13D,2022-03-14,https://www.sec.gov/Archives/edgar/data/0001838359/000138713122003635/rgti-sc13d_030222.htm,11.0,
SC 13G,2022-03-01,https://www.sec.gov/Archives/edgar/data/0001838359/000093583622000215/snii13g.htm,9.0,
SC 13G,2022-02-14,https://www.sec.gov/Archives/edgar/data/0001838359/000091957422001445/d9181469_13-g.htm,9.0,
SC 13G,2022-01-13,https://www.sec.gov/Archives/edgar/data/0001838359/000127308722000005/SNII_SC13G.htm,,
SC 13G,2021-10-18,https://www.sec.gov/Archives/edgar/data/0001838359/000101359421000755/supernova13g-101821.htm,9.0,
SC 13G,2021-03-15,https://www.sec.gov/Archives/edgar/data/0001838359/000090266421001927/p21-0948sc13g.htm,9.0,
